"PK","SK","Addresses","Amount","CreatedAt","Description","Email Address","GSI1PK","GSI1SK","ItemID","ItemId","Name","NumberItems","Orderld","Price","Status","Username"
"CUSTOMER#the_don","#ORDER#1W1hwN4ywvTR6xzwhU8EHbXULBa","","98.54","2020-01-06 18:53:24","","","ORDER#1W1hwN4ywvTR6xzwhU8EHbXULBa","ORDER#1W1hwN4ywvTR6xzwhU8EHbXULBa","","","","4","1W1hwN4ywvTR6xzwhU8EHbXULBa","","DELIVERED",""
"CUSTOMER#the_don","CUSTOMER#the_don","{""Home"":{""M"":{""Street"":{""S"":""987 Fifth Avenue""},""State"":{""S"":""NY""},""City"":{""S"":""New York""}}}}","","","","vito@corleone.com","","","","","vito Coleone","","","","","the_don"
"CUSTOMER#nguyen","CUSTOMER#nguyen","","","","","nguyen@gmail.com","","","","","Nguyen","","","","","nguyen"
"CUSTOMER#huynh","CUSTOMER#huynh","","","","","huynh@gmail.com","","","","","Huynh","","","","","huynh"
"ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY#TEM#be43","ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY#TEM#be43","","","","Les Miserables","","ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY","ITEM#be43","be43","","","","88da49e72b80","14.64","CANCELLED",""
"ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY#ITEM#48d7","ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY#ITEM#48d7","","","","Go, Dog, Go!","","ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY","ITEM#48d7","","48d7","","","88da49e72b80","9.72","",""
"CUSTOMER#thu","CUSTOMER#thu","","","","","thu@gmail.com","","","","","thuuyen","","","","","thu"
"CUSTOMER#alexdebrie","#ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY","","67.43","2020-01-03 01:57:44","","","ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY","ORDER#1VrgXBQ0VCshuQUnh1HrDIHQNwY","","","","7","1VrgXBQ0VCshuQUnh1HrDIHQNwY","","SHIPPED",""
"CUSTOMER#alexdebrie","#ORDER#1VwVAvJk1GvBFfpTAjm0KG7Cg9d","","12.43","2020-01-04 18:53:24","","","ORDER#1VwVAvJk1GvBFfpTAjm0KG7Cg9d","ORDER#1VwVAvJk1GvBFfpTAjm0KG7Cg9d","","","","2","1VwVAvJk1GvBFfpTAjm0KG7Cg9d","","CANCELLED",""
"CUSTOMER#alexdebrie","CUSTOMER#alexdebrie","{""Home"":{""M"":{""Street"":{""S"":""112 1st Street""},""State"":{""S"":""NE""},""City"":{""S"":""Omaha""}}},""Business"":{""M"":{""Street"":{""S"":""555 Broadway""},""State"":{""S"":""NE""},""City"":{""S"":""Omaha""}}}}","","","","alexdebrie1@gmail.com","","","","","Alex DeBrie","","","","","alexdebrie"
